"시도별","규모별","직종별",2019.1/2,2019.1/2,2019.1/2,2019.1/2,2019.1/2,2019.1/2,2019.1/2,2019.2/2,2019.2/2,2019.2/2,2019.2/2,2019.2/2,2019.2/2,2019.2/2
"시도별","규모별","직종별",현원 (명),구인인원 (명),채용인원 (명),미충원인원 (명),부족인원 (명),채용계획인원 (명),부족률 (%),현원 (명),구인인원 (명),채용인원 (명),미충원인원 (명),부족인원 (명),채용계획인원 (명),부족률 (%)
"전국","전규모(5인이상)","00 전직종",12247216,810487,733478,77009,239901,254823,1.9,12429758,687724,611815,75909,246505,261037,1.9
"서울특별시","전규모(5인이상)","00 전직종",3288066,237964,213112,24852,71250,72670,2.1,3328027,200266,175273,24993,74739,76163,2.2
"부산광역시","전규모(5인이상)","00 전직종",725852,47859,43783,4076,9030,9925,1.2,737538,39445,36338,3107,11341,12245,1.5
"대구광역시","전규모(5인이상)","00 전직종",457187,31666,29524,2142,5515,8488,1.2,463976,27302,24380,2922,6939,9056,1.5
"인천광역시","전규모(5인이상)","00 전직종",574244,38012,35684,2328,9538,10726,1.6,575989,27721,25137,2584,9678,9811,1.7
"광주광역시","전규모(5인이상)","00 전직종",312760,22974,21674,1300,4559,4797,1.4,317575,19046,17443,1603,5419,5407,1.7
"대전광역시","전규모(5인이상)","00 전직종",327787,22447,20733,1714,5870,6039,1.8,331353,19778,18006,1772,6824,7954,2.0
"울산광역시","전규모(5인이상)","00 전직종",311790,14684,13617,1067,3409,3463,1.1,315598,11499,10425,1074,3020,3109,0.9
"세종특별자치시","전규모(5인이상)","00 전직종",52678,3115,2877,238,1060,1079,2.0,53803,3260,2845,415,1294,1381,2.3
"경기도","전규모(5인이상)","00 전직종",2949672,189456,170849,18607,67710,70265,2.2,2989301,163269,145443,17826,67803,71173,2.2
"강원도","전규모(5인이상)","00 전직종",268911,19099,17434,1665,4955,6302,1.8,281078,18920,17000,1920,6750,7624,2.3
"충청북도","전규모(5인이상)","00 전직종",395620,25648,23009,2639,8140,9317,2.0,402513,25570,23101,2469,8697,8892,2.1
"충청남도","전규모(5인이상)","00 전직종",522310,34246,31046,3200,10993,11373,2.1,536463,27600,24541,3059,9290,9796,1.7
"전라북도","전규모(5인이상)","00 전직종",328865,23701,21968,1733,6099,7520,1.8,333830,24153,22251,1902,6847,8068,2.0
"전라남도","전규모(5인이상)","00 전직종",343791,23086,21228,1858,5788,5868,1.7,352562,16896,15189,1707,6156,6213,1.7
"경상북도","전규모(5인이상)","00 전직종",562465,26681,23181,3500,9431,10519,1.6,574014,25487,21541,3946,8256,10098,1.4
"경상남도","전규모(5인이상)","00 전직종",708880,42340,37194,5146,13827,13819,1.9,719086,31539,27649,3890,11333,11984,1.6
"제주도","전규모(5인이상)","00 전직종",116337,7509,6566,943,2726,2652,2.3,117052,5976,5255,721,2119,2065,1.8
