"시도별(17개)","규모별","직종별",2021.1/2,2021.1/2,2021.1/2,2021.1/2,2021.1/2,2021.1/2,2021.1/2,2021.2/2,2021.2/2,2021.2/2,2021.2/2,2021.2/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2,2022.1/2,2022.1/2,2022.1/2,2022.1/2,2022.1/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2
"시도별(17개)","규모별","직종별",현원 (명),구인인원 (명),채용인원 (명),미충원인원 (명),부족인원 (명),채용계획인원 (명),부족률 (%),현원 (명),구인인원 (명),채용인원 (명),미충원인원 (명),부족인원 (명),채용계획인원 (명),부족률 (%),현원 (명),구인인원 (명),채용인원 (명),미충원인원 (명),부족인원 (명),채용계획인원 (명),부족률 (%),현원 (명),구인인원 (명),채용인원 (명),미충원인원 (명),부족인원 (명),채용계획인원 (명),부족률 (%)
"전국","전규모(1인이상)","전직종",16572616,1041508,939512,101996,405849,421006,2.4,16827175,1117819,983265,134554,539306,583357,3.1,16998689,1277304,1105116,172188,623690,632305,3.5,17280505,1205658,1020553,185105,604611,618642,3.4
"서울특별시","전규모(1인이상)","전직종",4224351,275249,247683,27566,97875,100382,2.3,4274556,301779,261171,40608,139590,142980,3.2,4331525,342557,298279,44278,147434,149769,3.3,4407750,323607,275779,47828,141309,143843,3.1
"부산광역시","전규모(1인이상)","전직종",1026379,65656,58716,6940,20391,20814,1.9,1037353,63454,56327,7127,25857,27948,2.4,1045298,73564,66105,7459,29655,29555,2.8,1065719,64538,55901,8637,25137,24600,2.3
"대구광역시","전규모(1인이상)","전직종",630665,43789,40657,3132,11943,13280,1.9,638265,43457,39601,3856,14519,17908,2.2,640458,53977,48662,5315,18763,20728,2.8,650269,48798,42516,6282,19753,21367,2.9
"인천광역시","전규모(1인이상)","전직종",798383,41545,39112,2433,17551,18365,2.2,817662,47174,43309,3865,24278,25776,2.9,821931,56807,51807,5000,28389,28328,3.3,833560,46488,40368,6120,25035,25470,2.9
"광주광역시","전규모(1인이상)","전직종",438845,31345,29270,2075,8763,8797,2.0,444245,29226,26324,2902,12946,13620,2.8,448313,36595,32652,3943,14376,13932,3.1,454125,32319,27823,4496,14791,14928,3.2
"대전광역시","전규모(1인이상)","전직종",461330,29271,27255,2016,11492,11691,2.4,466611,33456,29810,3646,15702,22344,3.3,469713,38283,33984,4299,16341,16882,3.4,474695,39657,35267,4390,16581,18484,3.4
"울산광역시","전규모(1인이상)","전직종",385877,15499,14652,847,3409,3563,0.9,393839,19509,17840,1669,6589,8191,1.6,393792,21213,19057,2156,9047,9392,2.2,398375,18466,15794,2672,9850,9972,2.4
"세종특별자치시","전규모(1인이상)","전직종",80200,5145,4661,484,2474,2507,3.0,82132,5608,4894,714,3186,5526,3.7,83284,6746,5967,779,3965,3891,4.5,85388,7836,6976,860,4069,4290,4.5
"경기도","전규모(1인이상)","전직종",4042350,237884,211308,26576,123004,123343,3.0,4106162,264112,231693,32419,150127,152625,3.5,4167470,287402,243106,44296,182405,183594,4.2,4246402,278318,230136,48182,175047,175757,4.0
"강원도","전규모(1인이상)","전직종",415635,28590,26606,1984,11983,13221,2.8,432552,30823,27007,3816,17403,19428,3.9,435506,39571,34336,5235,20241,21831,4.4,450230,47911,42656,5255,22087,22590,4.7
"충청북도","전규모(1인이상)","전직종",527068,45297,40474,4823,15001,19826,2.8,534587,43909,37825,6084,18500,21559,3.3,534303,57861,45095,12766,24953,26964,4.5,539232,49305,40717,8588,24374,27729,4.3
"충청남도","전규모(1인이상)","전직종",703458,50345,46817,3528,19543,21275,2.7,716584,48502,42519,5983,25460,35279,3.4,720543,60931,53736,7195,28753,28064,3.8,730823,52412,43260,9152,28977,29870,3.8
"전라북도","전규모(1인이상)","전직종",473145,28275,25574,2701,9288,10161,1.9,479049,31388,27941,3447,16486,18909,3.3,481301,35209,31312,3897,15272,15460,3.1,488480,31816,27839,3977,14564,15000,2.9
"전라남도","전규모(1인이상)","전직종",510774,24612,22107,2505,9880,10541,1.9,512429,33750,30953,2797,15152,15833,2.9,519545,33677,29212,4465,17454,17303,3.3,532816,35762,30158,5604,18739,18786,3.4
"경상북도","전규모(1인이상)","전직종",752369,54654,48188,6466,20648,21299,2.7,767975,63944,56856,7088,21591,22883,2.7,769829,65351,55910,9441,27626,28211,3.5,774084,63203,52255,10948,26467,28521,3.3
"경상남도","전규모(1인이상)","전직종",929137,53180,46811,6369,17825,17102,1.9,946722,48296,41291,7005,24378,24774,2.5,955063,52999,43709,9290,30413,29784,3.1,959976,52217,42397,9820,30543,30203,3.1
"제주특별자치도","전규모(1인이상)","전직종",172649,11172,9619,1553,4778,4837,2.7,176453,9433,7905,1528,7541,7773,4.1,180816,14562,12187,2375,8604,8618,4.5,188581,13004,10712,2292,7289,7230,3.7
