"체류자격별",2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"체류자격별",15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세 이상 인구 (천명),- 경제활동인구 (천명),· 취업자 (천명),- 비경제활동인구 (천명),경제활동참가율 (%),고용률 (%)
"계",963.8,725.4,697.9,238.3,75.3,72.4,964.6,695.8,667.9,268.8,72.1,69.2,1060.4,773.6,738.3,286.8,73.0,69.6,1151.1,847.5,809.2,303.7,73.6,70.3,1199.6,869.5,835.2,330.2,72.5,69.6,1225.3,868.7,834.2,356.6,70.9,68.1,1300.8,929.1,884.3,371.7,71.4,68.0,1322.6,913.6,863.2,409.0,69.1,65.3,1331.8,917.4,847.9,414.4,68.9,63.7,1331.8,909.6,855.3,422.2,68.3,64.2,1301.9,879.9,843.0,422.1,67.6,64.8
"비전문취업(E-9)",230.2,229.9,229.7,0.3,99.9,99.8,220.1,219.8,219.3,0.3,99.9,99.7,236.9,236.6,236.2,0.3,99.9,99.7,257.3,256.8,256.5,0.5,99.8,99.7,258.3,258.0,257.8,0.3,99.9,99.8,255.9,255.7,255.6,0.2,99.9,99.9,262.3,262.3,262.1,0.0,100.0,99.9,261.2,261.0,260.8,0.2,99.9,99.8,252.1,251.6,251.1,0.5,99.8,99.6,216.6,216.2,216.0,0.3,99.8,99.7,209.5,209.2,209.1,0.3,99.9,99.8
"방문취업(H-2)",248.1,220.5,209.9,27.5,88.9,84.6,203.9,172.1,162.4,31.7,84.4,79.7,224.8,194.4,184.1,30.4,86.5,81.9,244.8,211.4,200.2,33.4,86.4,81.8,232.7,199.9,192.0,32.8,85.9,82.5,201.5,174.4,166.7,27.1,86.6,82.7,209.7,179.8,170.5,29.9,85.7,81.3,200.6,168.9,158.1,31.8,84.2,78.8,160.5,132.4,117.2,28.1,82.5,73.0,122.8,101.7,93.7,21.1,82.8,76.3,96.5,75.1,71.6,21.4,77.8,74.2
"전문인력(E-1~E-7)",40.9,40.6,40.6,0.3,99.4,99.4,42.0,41.6,41.4,0.4,99.1,98.7,40.9,40.8,40.7,0.1,99.7,99.6,40.3,40.0,39.8,0.3,99.3,98.9,39.8,39.6,39.6,0.1,99.5,99.5,38.5,38.2,38.2,0.4,99.2,99.2,37.2,36.9,36.6,0.3,99.2,98.4,38.6,38.4,38.4,0.2,99.5,99.5,39.8,38.9,38.7,0.9,97.7,97.2,40.0,39.5,39.4,0.6,98.8,98.5,41.7,41.1,40.8,0.5,98.6,97.8
"유학생(D-2, D-4-1, D-4-7)",72.1,14.5,11.4,57.6,20.1,15.8,71.6,10.6,9.3,61.0,14.8,13.0,70.5,7.9,6.8,62.6,11.3,9.6,74.2,11.1,8.5,63.1,15.0,11.4,85.6,14.6,11.2,71.0,17.1,13.1,98.6,15.4,12.4,83.2,15.6,12.6,121.3,25.3,19.6,96.1,20.9,16.2,143.1,29.9,23.0,113.2,20.9,16.1,137.0,36.4,27.2,100.6,26.6,19.9,143.4,40.0,34.1,103.5,27.9,23.8,162.6,35.0,28.3,127.6,21.5,17.4
"재외동포(F-4)",114.8,76.3,73.4,38.5,66.4,63.9,146.1,97.4,91.4,48.7,66.7,62.6,186.4,120.5,109.0,65.9,64.6,58.4,215.6,144.8,133.8,70.8,67.2,62.1,242.5,160.4,149.9,82.1,66.1,61.8,277.9,194.0,181.6,83.9,69.8,65.3,306.7,211.6,199.1,95.0,69.0,64.9,312.6,210.7,194.5,101.9,67.4,62.2,335.9,227.3,205.1,108.6,67.7,61.1,380.0,254.1,236.8,125.9,66.9,62.3,374.3,256.5,245.8,117.8,68.5,65.7
"영주(F-5)",64.9,45.0,42.3,19.9,69.4,65.2,76.6,53.9,50.9,22.7,70.4,66.4,86.5,64.8,61.2,21.8,74.9,70.7,95.0,74.2,71.1,20.8,78.1,74.9,99.8,77.2,73.9,22.6,77.4,74.0,102.7,78.1,74.8,24.5,76.0,72.8,104.0,83.0,78.6,21.1,79.8,75.6,103.8,81.8,76.7,22.0,78.8,73.9,114.8,86.7,79.7,28.1,75.5,69.4,128.4,96.3,89.4,32.2,75.0,69.6,129.6,99.5,95.8,30.1,76.8,73.9
"결혼이민(F-2-1, F-6)",113.3,58.2,53.7,55.1,51.4,47.4,113.1,55.8,52.0,57.3,49.4,46.0,113.7,58.8,55.1,54.9,51.7,48.5,110.0,56.8,53.7,53.2,51.7,48.8,110.1,58.4,54.6,51.7,53.0,49.6,108.5,54.0,52.0,54.5,49.8,47.9,108.6,63.0,60.1,45.6,58.0,55.3,109.7,59.4,56.2,50.4,54.1,51.2,121.5,67.2,61.9,54.3,55.3,50.9,127.0,69.5,64.3,57.6,54.7,50.6,122.7,72.5,67.9,50.2,59.1,55.3
