"행정구역(시군구)별(1)",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별(1)",합계,동북아시아,동북아시아,동북아시아,동북아시아,동북아시아,동북아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,서남아시아,서남아시아,서남아시아,서남아시아,서남아시아,서남아시아,중앙아시아,중앙아시아,중앙아시아,중앙아시아,중앙아시아,아시아(기타),미국,캐나다,유럽,유럽,유럽,유럽,유럽,오세아니아,중남미,아프리카,기타
"행정구역(시군구)별(1)",소계,소계,중국,중국(한국계),대만,일본,몽골,소계,베트남,필리핀,태국,인도네시아,캄보디아,미얀마,말레이시아,라오스,동티모르,기타,소계,스리랑카,파키스탄,방글라데시,네팔,기타,소계,우즈베키스탄,카자흐스탄,키르기스탄,기타,소계,소계,소계,소계,러시아,러시아(한국계),영국,기타,소계,소계,소계,소계
"합계",395175,119248,11440,102012,248,872,4676,168244,41014,21448,22507,26491,32916,21165,172,320,2125,86,60497,17115,2940,8670,29341,2431,27046,20281,4951,1647,167,260,9251,1617,5566,448,10,2180,2928,694,409,2338,5
"서울특별시",49668,38304,2283,35082,173,431,335,2984,682,668,473,193,388,429,87,5,*,57,1460,154,136,225,338,607,584,371,151,48,14,91,2856,503,2079,200,*,733,1145,253,185,369,*
"부산광역시",11811,1238,481,649,20,33,55,7318,2394,895,297,1914,803,954,8,*,49,*,1491,494,178,151,540,128,611,562,26,23,*,19,547,106,271,34,*,134,101,32,15,162,*
"대구광역시",7273,744,192,477,*,18,54,3769,1026,756,190,948,486,347,*,*,14,*,1423,576,166,209,399,73,486,421,48,14,*,9,451,83,171,13,*,110,48,24,12,101,*
"인천광역시",19718,5518,503,4663,12,13,327,8690,1969,1515,1333,1169,796,1809,*,19,76,*,2458,503,264,631,967,93,1988,1305,555,112,16,20,475,78,326,23,*,92,207,48,18,99,*
"광주광역시",5498,765,215,494,*,*,53,2684,525,398,240,350,798,335,*,*,37,*,732,319,44,33,258,78,862,604,213,42,*,5,216,33,130,*,*,47,80,7,6,58,*
"대전광역시",2624,790,234,475,5,29,47,647,153,125,67,122,100,55,5,12,7,*,386,39,33,43,138,133,77,54,17,*,*,10,360,48,138,19,*,48,71,23,18,127,*
"울산광역시",6041,1517,139,1265,*,9,104,2901,896,507,118,450,579,332,*,*,17,*,1027,595,37,49,267,79,263,232,17,12,*,13,117,25,71,8,*,37,26,14,10,83,*
"세종특별자치시",1908,375,52,298,*,*,23,904,135,78,246,101,200,144,*,*,*,*,322,79,10,31,189,13,103,85,13,5,*,*,104,15,28,*,*,22,6,8,5,43,*
"경기도",151037,52325,2143,47495,24,263,2400,61325,9832,10044,12011,5267,13553,10020,26,152,410,10,22861,4630,1034,5171,11434,592,10241,7693,1762,719,67,47,2007,315,1229,104,*,386,737,123,78,483,*
"강원도",5398,800,261,463,*,10,66,2998,920,211,476,596,546,237,*,9,*,*,979,163,30,51,689,46,174,123,25,26,*,*,208,30,84,6,*,56,22,16,*,102,*
"충청북도",16392,2771,175,2310,*,*,281,7358,1522,1064,1378,802,1678,836,*,26,50,*,3964,1114,150,440,2205,55,1902,1505,223,154,20,*,155,32,125,*,*,38,85,16,*,65,*
"충청남도",28266,4979,457,4278,*,15,228,13687,3569,1099,2170,1743,3497,1409,*,17,181,*,5351,1050,109,375,3773,44,3560,2285,995,260,20,6,350,65,163,11,*,53,99,14,7,84,*
"전라북도",9464,1022,216,687,*,8,111,5066,1309,431,497,693,1384,616,7,10,119,*,2444,681,58,245,1372,88,495,443,31,19,*,6,207,45,73,*,*,50,22,9,7,90,*
"전라남도",17007,1488,692,633,*,7,156,10241,3740,476,605,2128,2065,660,*,17,549,*,4023,2339,20,94,1545,25,787,741,21,24,*,*,210,51,86,*,*,63,19,19,*,98,*
"경상북도",21253,1618,520,952,*,15,129,12868,4417,1205,912,3004,2199,1026,5,20,79,*,4324,1391,221,374,2111,227,1799,1198,528,62,11,20,295,47,146,*,*,63,79,17,12,107,*
"경상남도",33341,2485,786,1463,*,12,223,20935,6601,1835,1345,5335,3567,1773,*,9,468,*,5985,2313,431,543,2574,124,3077,2634,319,118,6,6,343,58,222,12,*,89,120,27,10,192,*
"제주특별자치도",8476,2509,2091,328,5,*,84,3869,1324,141,149,1676,277,183,28,20,64,7,1267,675,19,5,542,26,37,25,7,5,*,*,350,83,224,*,*,159,61,44,16,75,*
